state	electoral_votes	voting_population
Alabama	9	3782861
Alaska	3	529649
Arizona	11	5133804
Arkansas	6	2178328
California	55	25840035
Colorado	9	4297225
Connecticut	7	2655214
Delaware	3	745131
District of Columbia	3	503118
Florida	29	15742624
Georgia	16	7490838
Hawaii	4	1047466
Idaho	4	1352914
Illinois	20	9095238
Indiana	11	5025421
Iowa	6	2360125
Kansas	6	2112458
Kentucky	8	3339511
Louisiana	8	3382286
Maine	4	1106276
Maryland	10	4416326
Massachusetts	11	5129755
Michigan	16	7615249
Minnesota	10	4157411
Mississippi	6	2185433
Missouri	10	4620290
Montana	3	857955
Nebraska	5	1400069
Nevada	6	2191188
New Hampshire	4	1101294
New Jersey	14	6435019
New Mexico	5	1534600
New York	29	14081957
North Carolina	15	7811002
North Dakota	3	577567
Ohio	18	8906277
Oklahoma	7	2875494
Oregon	7	3204224
Pennsylvania	20	9950392
Rhode Island	4	828194
South Carolina	9	3914642
South Dakota	3	651554
Tennessee	11	5174225
Texas	38	18982171
Utah	6	2255175
Vermont	3	520641
Virginia	13	6300717
Washington	12	5465496
West Virginia	5	1403699
Wisconsin	10	4410780
Wyoming	3	430161
